sa2_code,sa2_name,facility_type,nearest_minutes,nearest_km,facility_count_30min,nzdep_quintile,nzdep_score,health_region,centroid_lat,centroid_lon
100100,North Cape,gp,137.5,126.0,0,5,1135.4,Northern | Te Tai Tokerau,-34.585369,172.95734
100100,North Cape,hospital,100.0,91.7,0,5,1135.4,Northern | Te Tai Tokerau,-34.585369,172.95734
100200,Rangaunu Harbour,gp,62.4,57.2,0,5,1112.7692307692307,Northern | Te Tai Tokerau,-34.974517,173.228317
100200,Rangaunu Harbour,hospital,24.9,22.9,4,5,1112.7692307692307,Northern | Te Tai Tokerau,-34.974517,173.228317
100301,Inlets Far North District,gp,16.5,15.1,1,,,Northern | Te Tai Tokerau,-35.145017,173.580666
100301,Inlets Far North District,hospital,43.1,39.5,0,,,Northern | Te Tai Tokerau,-35.145017,173.580666
100400,Karikari Peninsula,gp,59.1,54.2,0,4,1067.5,Northern | Te Tai Tokerau,-34.917642,173.374742
100400,Karikari Peninsula,hospital,37.5,34.4,0,4,1067.5,Northern | Te Tai Tokerau,-34.917642,173.374742
100500,Tangonge,gp,51.8,47.5,0,5,1079.0,Northern | Te Tai Tokerau,-35.160595,173.181603
100500,Tangonge,hospital,13.0,12.0,4,5,1079.0,Northern | Te Tai Tokerau,-35.160595,173.181603
100600,Ahipara,gp,56.5,51.8,0,5,1106.3333333333333,Northern | Te Tai Tokerau,-35.17136,173.143896
100600,Ahipara,hospital,18.5,16.9,4,5,1106.3333333333333,Northern | Te Tai Tokerau,-35.17136,173.143896
103900,Paihia,gp,1.4,0.8,5,5,1068.3333333333333,Northern | Te Tai Tokerau,-35.285998,174.089018
103900,Paihia,hospital,17.2,15.8,2,5,1068.3333333333333,Northern | Te Tai Tokerau,-35.285998,174.089018
104000,Mataraua Forest,gp,52.2,47.8,0,5,1208.3333333333333,Northern | Te Tai Tokerau,-35.544888,173.801102
104000,Mataraua Forest,hospital,24.2,22.2,1,5,1208.3333333333333,Northern | Te Tai Tokerau,-35.544888,173.801102
104101,Matawaia-Taumarere,gp,29.1,26.7,2,,,Northern | Te Tai Tokerau,-35.443081,174.02242
104101,Matawaia-Taumarere,hospital,11.6,10.7,2,,,Northern | Te Tai Tokerau,-35.443081,174.02242
104200,Russell Peninsula,gp,8.9,8.2,2,3,986.75,Northern | Te Tai Tokerau,-35.284843,174.155778
